"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","X_24","X_25","X_26","X_27","X_28","X_29","X_30","X_31","X_32","X_33","X_34","X_35","X_36","X_37","X_38","X_39","X_40","X_41","X_42","X_43","X_44","X_45","X_46","X_47","X_48","X_49","X_50","X_51","X_52","X_53","X_54","X_55","X_56","X_57","X_58","X_59","X_60","X_61","X_62","X_63","X_64","X_65","X_66","X_67","X_68","X_69","X_70","X_71","X_72","X_73","X_74","X_75","X_76","X_77","X_78","X_79","X_80","X_81","X_82","X_83","X_84","X_85","X_86","X_87","X_88","X_89","X_90","X_91","X_92","X_93","X_94","X_95","X_96","X_97","X_98","X_99","target"
7.0,9.0,2.0,0.0,1.0,4.0,6.0,9.0,7.0,7.0,6.0,7.0,4.0,4.0,7.0,6.0,9.0,1.0,0.0,6.0,4.0,6.0,8.0,6.0,1.0,4.0,9.0,0.0,2.0,7.0,3.0,5.0,5.0,2.0,9.0,9.0,7.0,7.0,0.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,6.0,8.0,6.0,1.0,6.0,8.0,1.0,2.0,0.0,8.0,0.0,6.0,5.0,5.0,2.0,8.0,3.0,5.0,8.0,5.0,7.0,6.0,6.0,5.0,6.0,0.0,1.0,1.0,2.0,7.0,1.0,6.0,5.0,6.0,8.0,3.0,1.0,5.0,5.0,6.0,2.0,7.0,6.0,1.0,7.0,2.0,7.0,0.0,8.0,6.0,7.0,5.0,4.0,6.0,137.59665082984012
9.0,3.0,3.0,0.0,5.0,5.0,8.0,6.0,6.0,8.0,5.0,7.0,5.0,6.0,6.0,8.0,1.0,2.0,8.0,9.0,4.0,6.0,4.0,9.0,6.0,8.0,1.0,1.0,4.0,8.0,0.0,8.0,8.0,7.0,5.0,0.0,8.0,8.0,9.0,5.0,6.0,4.0,2.0,5.0,4.0,4.0,1.0,7.0,0.0,2.0,1.0,9.0,2.0,5.0,7.0,6.0,4.0,6.0,7.0,3.0,2.0,8.0,2.0,5.0,1.0,4.0,8.0,8.0,0.0,3.0,2.0,8.0,5.0,1.0,2.0,4.0,9.0,2.0,7.0,1.0,2.0,0.0,4.0,5.0,7.0,0.0,6.0,2.0,1.0,0.0,4.0,1.0,6.0,5.0,4.0,9.0,1.0,9.0,6.0,1.0,-94.47505904188131
7.0,0.0,2.0,8.0,0.0,2.0,1.0,6.0,7.0,9.0,8.0,5.0,7.0,0.0,8.0,4.0,5.0,9.0,2.0,2.0,0.0,5.0,2.0,6.0,8.0,8.0,0.0,1.0,0.0,6.0,5.0,2.0,6.0,0.0,3.0,6.0,2.0,7.0,9.0,2.0,8.0,7.0,5.0,2.0,0.0,0.0,1.0,3.0,3.0,5.0,6.0,3.0,4.0,4.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,9.0,2.0,5.0,1.0,0.0,6.0,3.0,5.0,1.0,3.0,1.0,3.0,5.0,0.0,3.0,8.0,3.0,2.0,3.0,3.0,8.0,9.0,6.0,4.0,3.0,5.0,6.0,6.0,1.0,3.0,1.0,2.0,8.0,7.0,3.0,3.0,1.0,1.0,8.0,-204.52846203354474
8.0,2.0,0.0,3.0,6.0,0.0,8.0,6.0,3.0,4.0,2.0,8.0,4.0,7.0,3.0,1.0,8.0,5.0,2.0,4.0,9.0,0.0,9.0,8.0,6.0,5.0,3.0,8.0,8.0,4.0,6.0,4.0,2.0,4.0,4.0,1.0,6.0,3.0,1.0,8.0,8.0,6.0,5.0,3.0,8.0,4.0,4.0,5.0,4.0,0.0,5.0,6.0,8.0,1.0,9.0,2.0,4.0,6.0,7.0,2.0,4.0,9.0,9.0,3.0,9.0,3.0,7.0,8.0,3.0,6.0,5.0,2.0,1.0,5.0,5.0,2.0,7.0,2.0,6.0,4.0,9.0,5.0,1.0,0.0,7.0,6.0,4.0,1.0,4.0,4.0,7.0,2.0,5.0,3.0,1.0,9.0,5.0,6.0,0.0,2.0,59.20912192691146
4.0,4.0,8.0,6.0,6.0,5.0,4.0,7.0,9.0,3.0,2.0,3.0,2.0,0.0,5.0,3.0,1.0,1.0,9.0,7.0,4.0,8.0,0.0,9.0,2.0,7.0,3.0,1.0,2.0,1.0,5.0,3.0,7.0,8.0,3.0,8.0,0.0,5.0,9.0,8.0,0.0,1.0,5.0,9.0,3.0,6.0,1.0,4.0,3.0,6.0,7.0,7.0,5.0,8.0,6.0,2.0,6.0,1.0,5.0,5.0,1.0,0.0,6.0,0.0,5.0,4.0,5.0,8.0,1.0,1.0,9.0,3.0,2.0,1.0,5.0,2.0,4.0,8.0,4.0,3.0,8.0,2.0,6.0,0.0,6.0,4.0,5.0,2.0,3.0,9.0,5.0,1.0,6.0,5.0,3.0,8.0,8.0,7.0,8.0,9.0,-31.292229126065283
0.0,3.0,6.0,1.0,9.0,7.0,8.0,1.0,3.0,7.0,7.0,8.0,9.0,0.0,5.0,3.0,8.0,8.0,2.0,8.0,8.0,6.0,3.0,7.0,4.0,1.0,8.0,5.0,0.0,5.0,6.0,3.0,4.0,5.0,3.0,2.0,2.0,6.0,4.0,6.0,6.0,6.0,2.0,1.0,7.0,6.0,9.0,3.0,0.0,7.0,3.0,2.0,1.0,4.0,3.0,7.0,9.0,7.0,2.0,6.0,0.0,5.0,2.0,0.0,8.0,1.0,4.0,3.0,8.0,5.0,6.0,3.0,7.0,3.0,7.0,6.0,1.0,1.0,0.0,9.0,8.0,0.0,3.0,2.0,0.0,9.0,6.0,8.0,1.0,3.0,6.0,9.0,6.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,79.1991751647179
0.0,6.0,3.0,4.0,4.0,2.0,8.0,9.0,5.0,9.0,1.0,7.0,8.0,9.0,3.0,3.0,7.0,5.0,7.0,5.0,1.0,8.0,2.0,4.0,5.0,9.0,9.0,1.0,9.0,7.0,4.0,6.0,8.0,5.0,8.0,0.0,5.0,9.0,4.0,8.0,2.0,8.0,1.0,8.0,4.0,1.0,5.0,0.0,6.0,9.0,6.0,9.0,6.0,7.0,8.0,7.0,5.0,2.0,8.0,0.0,5.0,6.0,0.0,6.0,8.0,0.0,0.0,3.0,3.0,9.0,4.0,4.0,3.0,0.0,8.0,6.0,8.0,1.0,3.0,6.0,8.0,1.0,0.0,3.0,2.0,2.0,1.0,8.0,0.0,4.0,5.0,2.0,6.0,0.0,6.0,3.0,2.0,9.0,8.0,8.0,-152.75214132559242
1.0,8.0,9.0,1.0,9.0,1.0,9.0,8.0,5.0,3.0,5.0,6.0,8.0,3.0,0.0,1.0,7.0,1.0,3.0,4.0,3.0,3.0,8.0,9.0,2.0,7.0,3.0,6.0,3.0,1.0,9.0,1.0,8.0,6.0,4.0,5.0,7.0,8.0,9.0,8.0,9.0,0.0,7.0,8.0,8.0,2.0,2.0,8.0,8.0,4.0,3.0,8.0,9.0,7.0,0.0,8.0,7.0,2.0,4.0,4.0,6.0,0.0,1.0,9.0,8.0,6.0,0.0,4.0,8.0,7.0,5.0,3.0,8.0,0.0,6.0,6.0,9.0,8.0,9.0,0.0,7.0,4.0,7.0,4.0,1.0,2.0,0.0,0.0,2.0,7.0,1.0,5.0,8.0,1.0,9.0,4.0,4.0,9.0,1.0,6.0,267.3593884330621
8.0,4.0,2.0,0.0,4.0,3.0,0.0,7.0,2.0,3.0,7.0,7.0,4.0,8.0,8.0,7.0,9.0,2.0,2.0,2.0,4.0,3.0,2.0,7.0,6.0,9.0,0.0,9.0,2.0,4.0,4.0,9.0,5.0,8.0,6.0,6.0,9.0,3.0,9.0,6.0,8.0,9.0,1.0,0.0,8.0,7.0,2.0,5.0,7.0,6.0,6.0,5.0,9.0,0.0,6.0,5.0,5.0,2.0,5.0,3.0,7.0,2.0,2.0,5.0,9.0,6.0,5.0,9.0,2.0,7.0,3.0,4.0,5.0,9.0,5.0,3.0,1.0,2.0,7.0,6.0,2.0,4.0,1.0,2.0,3.0,2.0,8.0,5.0,8.0,8.0,4.0,2.0,1.0,4.0,7.0,3.0,2.0,1.0,9.0,2.0,-65.77293370843974
6.0,4.0,5.0,0.0,7.0,3.0,1.0,3.0,1.0,3.0,8.0,0.0,3.0,0.0,5.0,9.0,4.0,4.0,2.0,9.0,6.0,2.0,7.0,9.0,5.0,8.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,6.0,3.0,5.0,9.0,7.0,2.0,5.0,1.0,6.0,0.0,7.0,8.0,6.0,6.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,4.0,6.0,7.0,7.0,8.0,8.0,4.0,6.0,9.0,8.0,2.0,3.0,9.0,9.0,2.0,2.0,8.0,1.0,7.0,8.0,8.0,5.0,8.0,5.0,3.0,7.0,3.0,6.0,8.0,1.0,5.0,7.0,4.0,4.0,6.0,9.0,5.0,1.0,4.0,8.0,1.0,8.0,6.0,-11.26021286077603
9.0,6.0,5.0,0.0,7.0,2.0,1.0,1.0,8.0,6.0,5.0,5.0,7.0,4.0,8.0,6.0,9.0,9.0,3.0,1.0,6.0,3.0,6.0,4.0,3.0,8.0,8.0,5.0,6.0,3.0,1.0,6.0,4.0,3.0,6.0,4.0,4.0,9.0,6.0,4.0,5.0,1.0,3.0,8.0,3.0,8.0,6.0,1.0,2.0,8.0,8.0,9.0,1.0,9.0,8.0,4.0,0.0,8.0,7.0,3.0,8.0,9.0,4.0,1.0,0.0,9.0,2.0,7.0,1.0,1.0,6.0,0.0,3.0,8.0,9.0,6.0,8.0,3.0,6.0,3.0,8.0,8.0,5.0,3.0,9.0,1.0,2.0,0.0,3.0,5.0,2.0,4.0,4.0,0.0,3.0,3.0,3.0,9.0,4.0,6.0,-127.04282132578992
6.0,8.0,0.0,5.0,2.0,8.0,9.0,1.0,9.0,9.0,3.0,9.0,5.0,7.0,8.0,2.0,7.0,6.0,4.0,1.0,4.0,0.0,1.0,7.0,7.0,6.0,9.0,4.0,3.0,2.0,1.0,8.0,1.0,5.0,9.0,1.0,7.0,1.0,7.0,5.0,4.0,6.0,5.0,0.0,1.0,4.0,8.0,8.0,4.0,3.0,8.0,1.0,3.0,0.0,3.0,2.0,9.0,3.0,2.0,8.0,1.0,7.0,6.0,2.0,9.0,2.0,5.0,1.0,4.0,0.0,5.0,7.0,8.0,9.0,7.0,1.0,1.0,8.0,3.0,0.0,3.0,3.0,8.0,5.0,5.0,2.0,1.0,7.0,0.0,9.0,3.0,4.0,0.0,8.0,9.0,9.0,3.0,2.0,7.0,4.0,125.19625353539999
0.0,7.0,5.0,7.0,0.0,9.0,3.0,4.0,7.0,9.0,4.0,8.0,3.0,1.0,8.0,7.0,8.0,6.0,2.0,9.0,5.0,8.0,1.0,0.0,9.0,1.0,5.0,8.0,5.0,1.0,2.0,5.0,2.0,8.0,2.0,7.0,9.0,2.0,3.0,5.0,3.0,0.0,8.0,0.0,6.0,3.0,0.0,4.0,6.0,4.0,8.0,0.0,1.0,8.0,5.0,4.0,0.0,3.0,3.0,6.0,4.0,6.0,6.0,8.0,7.0,2.0,7.0,2.0,3.0,1.0,7.0,2.0,8.0,9.0,1.0,7.0,2.0,8.0,8.0,1.0,7.0,9.0,6.0,4.0,8.0,2.0,9.0,8.0,4.0,0.0,8.0,6.0,2.0,3.0,7.0,7.0,9.0,5.0,1.0,5.0,-17.521245668226488
1.0,5.0,9.0,8.0,2.0,2.0,7.0,4.0,0.0,9.0,5.0,9.0,1.0,0.0,4.0,4.0,7.0,6.0,4.0,1.0,0.0,3.0,0.0,5.0,1.0,7.0,2.0,9.0,4.0,2.0,3.0,6.0,1.0,2.0,7.0,8.0,6.0,3.0,6.0,8.0,6.0,5.0,3.0,5.0,9.0,0.0,9.0,9.0,4.0,2.0,2.0,8.0,2.0,1.0,6.0,5.0,3.0,3.0,1.0,8.0,3.0,7.0,2.0,5.0,5.0,0.0,9.0,8.0,6.0,8.0,4.0,4.0,3.0,6.0,8.0,6.0,9.0,3.0,8.0,2.0,6.0,4.0,6.0,5.0,1.0,1.0,9.0,6.0,2.0,8.0,9.0,4.0,8.0,9.0,4.0,0.0,7.0,3.0,4.0,3.0,28.74305586339905
3.0,5.0,1.0,9.0,1.0,5.0,1.0,0.0,2.0,6.0,1.0,1.0,6.0,4.0,5.0,7.0,6.0,9.0,0.0,7.0,4.0,0.0,3.0,8.0,0.0,6.0,2.0,8.0,9.0,3.0,1.0,2.0,8.0,8.0,4.0,2.0,0.0,0.0,4.0,7.0,6.0,5.0,5.0,3.0,0.0,8.0,6.0,0.0,1.0,4.0,9.0,6.0,1.0,1.0,2.0,7.0,2.0,0.0,4.0,4.0,4.0,8.0,6.0,8.0,2.0,8.0,2.0,5.0,1.0,9.0,8.0,0.0,9.0,8.0,5.0,1.0,9.0,9.0,1.0,7.0,8.0,4.0,4.0,8.0,4.0,4.0,2.0,0.0,6.0,1.0,8.0,8.0,9.0,7.0,8.0,2.0,4.0,9.0,3.0,8.0,6.327380372119904
3.0,2.0,2.0,3.0,2.0,7.0,0.0,1.0,4.0,1.0,4.0,1.0,5.0,8.0,5.0,7.0,8.0,3.0,6.0,1.0,6.0,6.0,9.0,2.0,1.0,9.0,1.0,5.0,3.0,8.0,4.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,3.0,8.0,3.0,1.0,4.0,6.0,8.0,4.0,8.0,3.0,0.0,8.0,3.0,5.0,6.0,0.0,7.0,8.0,4.0,4.0,4.0,1.0,6.0,4.0,1.0,7.0,9.0,3.0,5.0,1.0,2.0,4.0,0.0,3.0,2.0,5.0,8.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,4.0,8.0,5.0,5.0,7.0,1.0,0.0,1.0,6.0,3.0,8.0,0.0,7.0,2.0,7.0,6.0,5.0,0.0,31.9256651081157
3.0,3.0,6.0,9.0,3.0,9.0,4.0,0.0,5.0,7.0,1.0,6.0,6.0,7.0,5.0,3.0,4.0,10.0,6.0,8.0,6.0,7.0,1.0,7.0,8.0,1.0,2.0,5.0,4.0,8.0,4.0,1.0,1.0,4.0,3.0,7.0,9.0,5.0,3.0,7.0,3.0,5.0,6.0,5.0,9.0,2.0,5.0,8.0,0.0,6.0,8.0,3.0,3.0,8.0,1.0,2.0,6.0,0.0,8.0,2.0,6.0,2.0,8.0,6.0,1.0,1.0,0.0,2.0,7.0,9.0,7.0,2.0,8.0,5.0,6.0,5.0,5.0,8.0,6.0,9.0,5.0,9.0,2.0,9.0,3.0,8.0,5.0,5.0,5.0,8.0,6.0,1.0,5.0,3.0,7.0,7.0,3.0,9.0,7.0,3.0,51.49780842419026
5.0,4.0,8.0,1.0,9.0,1.0,6.0,6.0,6.0,0.0,2.0,4.0,8.0,4.0,5.0,7.0,3.0,6.0,9.0,8.0,6.0,8.0,5.0,4.0,8.0,2.0,8.0,0.0,5.0,7.0,2.0,2.0,1.0,8.0,9.0,8.0,7.0,4.0,4.0,6.0,8.0,1.0,8.0,8.0,6.0,1.0,8.0,5.0,5.0,4.0,7.0,3.0,0.0,0.0,5.0,3.0,7.0,3.0,1.0,2.0,2.0,1.0,6.0,7.0,2.0,9.0,5.0,3.0,5.0,3.0,2.0,5.0,2.0,8.0,2.0,0.0,9.0,6.0,7.0,8.0,7.0,2.0,2.0,1.0,3.0,1.0,5.0,6.0,7.0,4.0,5.0,8.0,0.0,4.0,8.0,5.0,3.0,2.0,7.0,5.0,-13.583096054593184
1.0,0.0,7.0,3.0,9.0,3.0,8.0,4.0,9.0,5.0,0.0,1.0,2.0,3.0,7.0,7.0,0.0,2.0,0.0,6.0,4.0,3.0,3.0,5.0,1.0,9.0,3.0,7.0,9.0,0.0,7.0,7.0,5.0,3.0,1.0,3.0,0.0,3.0,4.0,7.0,6.0,4.0,6.0,9.0,4.0,5.0,8.0,8.0,0.0,6.0,0.0,4.0,2.0,3.0,7.0,5.0,4.0,7.0,1.0,6.0,3.0,1.0,8.0,3.0,1.0,6.0,3.0,5.0,8.0,7.0,2.0,2.0,3.0,4.0,8.0,3.0,6.0,4.0,8.0,8.0,6.0,8.0,5.0,2.0,0.0,1.0,7.0,2.0,7.0,6.0,9.0,2.0,2.0,8.0,3.0,5.0,4.0,1.0,4.0,1.0,76.02183088111985
1.0,1.0,3.0,3.0,5.0,8.0,0.0,8.0,2.0,0.0,5.0,6.0,8.0,2.0,3.0,3.0,4.0,8.0,7.0,2.0,3.0,2.0,0.0,7.0,7.0,4.0,8.0,5.0,1.0,6.0,5.0,3.0,8.0,9.0,7.0,6.0,6.0,3.0,7.0,0.0,8.0,9.0,7.0,3.0,8.0,5.0,9.0,2.0,2.0,6.0,6.0,3.0,3.0,8.0,9.0,9.0,7.0,6.0,9.0,0.0,9.0,3.0,5.0,6.0,1.0,8.0,8.0,8.0,5.0,2.0,6.0,0.0,0.0,6.0,9.0,5.0,7.0,8.0,8.0,6.0,5.0,8.0,5.0,3.0,4.0,4.0,1.0,8.0,9.0,6.0,2.0,4.0,3.0,3.0,4.0,1.0,8.0,8.0,7.0,0.0,88.74654653852451
4.0,0.0,7.0,6.0,5.0,9.0,8.0,5.0,3.0,3.0,9.0,4.0,6.0,2.0,2.0,6.0,3.0,8.0,2.0,0.0,6.0,4.0,8.0,1.0,7.0,0.0,9.0,7.0,2.0,0.0,8.0,4.0,9.0,2.0,7.0,8.0,5.0,4.0,5.0,8.0,1.0,2.0,7.0,7.0,4.0,3.0,1.0,1.0,2.0,1.0,5.0,9.0,0.0,3.0,9.0,9.0,5.0,8.0,5.0,2.0,2.0,4.0,1.0,8.0,7.0,4.0,1.0,5.0,4.0,8.0,2.0,8.0,0.0,8.0,3.0,4.0,2.0,3.0,2.0,9.0,0.0,9.0,3.0,4.0,4.0,8.0,8.0,6.0,1.0,2.0,2.0,5.0,6.0,0.0,4.0,4.0,10.0,9.0,9.0,4.0,60.87531819277763
8.0,7.0,1.0,0.0,5.0,6.0,5.0,1.0,3.0,7.0,8.0,1.0,7.0,1.0,9.0,4.0,2.0,2.0,2.0,1.0,1.0,6.0,3.0,4.0,3.0,6.0,5.0,8.0,5.0,5.0,8.0,2.0,0.0,4.0,3.0,2.0,0.0,5.0,1.0,7.0,6.0,8.0,1.0,2.0,8.0,5.0,7.0,4.0,8.0,6.0,1.0,2.0,3.0,0.0,9.0,6.0,4.0,5.0,2.0,2.0,8.0,8.0,7.0,9.0,4.0,6.0,1.0,8.0,8.0,5.0,7.0,0.0,9.0,9.0,9.0,0.0,5.0,6.0,1.0,3.0,1.0,5.0,4.0,1.0,7.0,7.0,2.0,4.0,5.0,1.0,8.0,2.0,1.0,0.0,1.0,6.0,8.0,1.0,7.0,2.0,-53.742781652402215
8.0,7.0,7.0,7.0,2.0,6.0,8.0,0.0,8.0,7.0,0.0,6.0,8.0,8.0,6.0,3.0,5.0,4.0,4.0,7.0,6.0,8.0,6.0,6.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,9.0,4.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,8.0,3.0,6.0,0.0,5.0,8.0,0.0,9.0,7.0,7.0,2.0,3.0,4.0,2.0,5.0,5.0,1.0,9.0,1.0,0.0,9.0,8.0,7.0,3.0,7.0,3.0,9.0,8.0,6.0,1.0,6.0,8.0,0.0,1.0,6.0,2.0,1.0,5.0,0.0,5.0,8.0,5.0,0.0,5.0,7.0,7.0,1.0,1.0,2.0,9.0,1.0,6.0,2.0,1.0,0.0,1.0,6.0,9.0,7.0,7.0,-375.44384559827654
8.0,9.0,5.0,8.0,2.0,8.0,3.0,1.0,6.0,5.0,9.0,6.0,2.0,3.0,1.0,3.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,3.0,2.0,3.0,5.0,0.0,3.0,3.0,9.0,5.0,5.0,1.0,7.0,2.0,3.0,2.0,9.0,1.0,3.0,2.0,4.0,6.0,4.0,7.0,0.0,1.0,0.0,3.0,7.0,0.0,8.0,8.0,5.0,0.0,0.0,6.0,5.0,4.0,6.0,4.0,4.0,2.0,1.0,5.0,4.0,2.0,0.0,4.0,8.0,1.0,0.0,5.0,1.0,4.0,1.0,5.0,3.0,6.0,1.0,6.0,8.0,3.0,2.0,6.0,9.0,1.0,4.0,8.0,4.0,1.0,6.0,3.0,8.0,4.0,8.0,2.0,6.0,2.0,5.432220531899312
4.0,7.0,7.0,6.0,7.0,4.0,9.0,1.0,8.0,4.0,0.0,1.0,6.0,7.0,6.0,2.0,6.0,8.0,1.0,1.0,9.0,3.0,5.0,3.0,1.0,6.0,8.0,5.0,2.0,1.0,5.0,5.0,7.0,7.0,1.0,8.0,1.0,9.0,3.0,4.0,6.0,1.0,8.0,0.0,1.0,1.0,6.0,9.0,7.0,3.0,3.0,3.0,4.0,2.0,0.0,1.0,8.0,7.0,6.0,6.0,9.0,7.0,7.0,9.0,5.0,4.0,3.0,5.0,2.0,8.0,3.0,0.0,8.0,6.0,8.0,3.0,5.0,5.0,0.0,8.0,2.0,7.0,3.0,1.0,2.0,3.0,4.0,8.0,5.0,4.0,3.0,4.0,5.0,3.0,9.0,7.0,8.0,7.0,6.0,8.0,86.34532905923791
2.0,7.0,1.0,1.0,9.0,7.0,2.0,0.0,7.0,1.0,4.0,1.0,8.0,0.0,7.0,3.0,8.0,4.0,6.0,9.0,9.0,0.0,3.0,4.0,6.0,5.0,4.0,8.0,6.0,8.0,7.0,7.0,4.0,2.0,9.0,5.0,8.0,3.0,9.0,6.0,2.0,2.0,2.0,9.0,2.0,2.0,0.0,7.0,8.0,1.0,1.0,5.0,2.0,2.0,2.0,9.0,4.0,2.0,8.0,4.0,9.0,6.0,8.0,7.0,4.0,1.0,2.0,8.0,5.0,7.0,5.0,6.0,7.0,1.0,8.0,1.0,1.0,0.0,7.0,6.0,4.0,1.0,3.0,1.0,5.0,1.0,7.0,7.0,7.0,5.0,2.0,7.0,6.0,6.0,1.0,2.0,3.0,4.0,2.0,3.0,-183.76423560987092
8.0,0.0,5.0,2.0,5.0,8.0,8.0,10.0,2.0,3.0,9.0,4.0,4.0,8.0,6.0,2.0,8.0,4.0,3.0,8.0,9.0,2.0,8.0,5.0,2.0,6.0,6.0,8.0,7.0,2.0,6.0,1.0,7.0,3.0,5.0,0.0,7.0,2.0,9.0,2.0,5.0,5.0,3.0,6.0,1.0,9.0,1.0,2.0,8.0,2.0,2.0,4.0,7.0,6.0,7.0,5.0,9.0,1.0,8.0,9.0,6.0,1.0,0.0,5.0,2.0,8.0,7.0,2.0,4.0,9.0,8.0,2.0,5.0,8.0,9.0,4.0,1.0,5.0,4.0,9.0,0.0,1.0,4.0,2.0,4.0,0.0,8.0,0.0,5.0,2.0,7.0,6.0,5.0,2.0,9.0,0.0,2.0,9.0,0.0,5.0,129.9822418978274
6.0,6.0,9.0,6.0,6.0,4.0,7.0,9.0,0.0,5.0,2.0,2.0,4.0,6.0,2.0,1.0,8.0,8.0,2.0,7.0,0.0,3.0,9.0,7.0,5.0,5.0,7.0,2.0,8.0,2.0,1.0,3.0,8.0,0.0,8.0,1.0,5.0,2.0,8.0,1.0,3.0,3.0,4.0,6.0,8.0,5.0,8.0,3.0,2.0,0.0,0.0,6.0,2.0,2.0,3.0,4.0,0.0,2.0,1.0,3.0,8.0,4.0,5.0,1.0,4.0,2.0,3.0,5.0,3.0,2.0,6.0,1.0,8.0,4.0,2.0,2.0,2.0,8.0,7.0,5.0,7.0,4.0,2.0,9.0,2.0,3.0,2.0,3.0,2.0,7.0,8.0,5.0,7.0,2.0,6.0,4.0,1.0,9.0,8.0,9.0,187.5282501559068
7.0,4.0,5.0,8.0,6.0,3.0,8.0,7.0,7.0,1.0,2.0,5.0,0.0,5.0,4.0,3.0,5.0,7.0,2.0,5.0,4.0,4.0,3.0,8.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,6.0,2.0,6.0,6.0,9.0,1.0,5.0,8.0,4.0,7.0,9.0,8.0,4.0,1.0,2.0,7.0,7.0,3.0,7.0,4.0,7.0,5.0,8.0,0.0,3.0,2.0,0.0,4.0,1.0,5.0,3.0,3.0,5.0,3.0,6.0,9.0,2.0,3.0,2.0,9.0,5.0,0.0,6.0,8.0,2.0,5.0,9.0,5.0,7.0,3.0,7.0,5.0,4.0,0.0,9.0,8.0,9.0,4.0,1.0,1.0,5.0,5.0,6.0,7.0,0.0,6.0,7.0,1.0,9.151944801012485
1.0,1.0,6.0,6.0,9.0,7.0,4.0,8.0,6.0,6.0,2.0,4.0,5.0,0.0,6.0,4.0,8.0,5.0,7.0,5.0,6.0,0.0,9.0,7.0,0.0,6.0,2.0,5.0,0.0,0.0,2.0,8.0,6.0,6.0,8.0,2.0,7.0,0.0,7.0,4.0,4.0,7.0,6.0,6.0,6.0,8.0,4.0,2.0,1.0,2.0,9.0,9.0,3.0,2.0,8.0,6.0,7.0,8.0,7.0,6.0,5.0,9.0,2.0,1.0,5.0,6.0,5.0,2.0,1.0,6.0,8.0,1.0,5.0,6.0,8.0,6.0,2.0,5.0,4.0,4.0,9.0,6.0,9.0,7.0,3.0,0.0,0.0,2.0,0.0,7.0,5.0,6.0,8.0,1.0,8.0,5.0,6.0,4.0,7.0,2.0,65.47886031131513
7.0,4.0,4.0,4.0,9.0,1.0,1.0,5.0,8.0,0.0,3.0,2.0,7.0,6.0,6.0,9.0,5.0,5.0,9.0,2.0,8.0,9.0,3.0,4.0,4.0,3.0,7.0,3.0,8.0,6.0,8.0,9.0,5.0,6.0,7.0,7.0,1.0,4.0,2.0,7.0,8.0,1.0,2.0,4.0,1.0,0.0,5.0,4.0,8.0,1.0,5.0,5.0,0.0,3.0,8.0,4.0,3.0,6.0,2.0,2.0,7.0,3.0,3.0,1.0,1.0,4.0,5.0,3.0,8.0,3.0,4.0,8.0,2.0,5.0,7.0,4.0,3.0,9.0,7.0,5.0,5.0,5.0,8.0,1.0,5.0,8.0,9.0,3.0,5.0,1.0,7.0,7.0,8.0,3.0,5.0,7.0,5.0,4.0,9.0,2.0,171.4606811562941
4.0,9.0,8.0,0.0,5.0,6.0,5.0,9.0,3.0,9.0,9.0,1.0,6.0,2.0,7.0,6.0,7.0,4.0,8.0,2.0,1.0,0.0,3.0,5.0,4.0,4.0,1.0,3.0,5.0,2.0,4.0,1.0,7.0,4.0,8.0,2.0,0.0,2.0,1.0,9.0,8.0,7.0,8.0,0.0,4.0,3.0,1.0,9.0,6.0,5.0,3.0,2.0,5.0,3.0,9.0,3.0,8.0,6.0,7.0,3.0,3.0,4.0,3.0,1.0,6.0,6.0,3.0,4.0,6.0,0.0,9.0,6.0,5.0,7.0,1.0,2.0,8.0,8.0,2.0,8.0,2.0,7.0,3.0,6.0,0.0,6.0,8.0,7.0,2.0,4.0,6.0,3.0,5.0,9.0,5.0,4.0,4.0,7.0,7.0,8.0,-85.65796547791601
9.0,9.0,0.0,6.0,6.0,9.0,7.0,0.0,5.0,8.0,8.0,9.0,2.0,0.0,0.0,2.0,6.0,0.0,8.0,5.0,6.0,6.0,8.0,2.0,5.0,2.0,8.0,3.0,8.0,2.0,3.0,7.0,4.0,6.0,6.0,9.0,9.0,9.0,1.0,9.0,4.0,6.0,0.0,3.0,8.0,3.0,3.0,7.0,8.0,6.0,6.0,2.0,3.0,3.0,0.0,6.0,3.0,8.0,2.0,3.0,7.0,2.0,4.0,8.0,6.0,5.0,3.0,4.0,3.0,6.0,5.0,8.0,1.0,4.0,6.0,3.0,2.0,5.0,1.0,3.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,1.0,9.0,9.0,4.0,8.0,4.0,4.0,1.0,4.0,7.0,8.0,3.0,6.0,72.82377770495088
